biome_lineage,biome_name,sample_accession,host_scientific_name,run_accession,experiment_type
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418376,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418378,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418379,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418380,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418382,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418383,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418385,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418386,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418387,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418388,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418389,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418390,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418391,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418392,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418395,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418396,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418397,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418296,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418297,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418298,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418299,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418300,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418301,unknown
